"meter_head","meter_rate","time_in_effect","time_limit","credit_card","pay_phone","longitude","latitude","geo_local_area","meter_id"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","66890",-123.128870823719,49.2869006300179,"West End","670805"
"Pay Station",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",10,"Yes","59916",-123.098183432967,49.2721460029592,"Strathcona","471405"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","57042",-123.101308103952,49.2546794997562,"Riley Park","C80145"
"Single",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","57159",-123.186227609322,49.2634085450668,"West Point Grey","D03704"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","51104",-123.127839653363,49.2635409102067,"Fairview","301023"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",3,"No","60868",-123.126473301481,49.2743120144046,"Downtown","591318"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","60810",-123.119687937338,49.2777081789249,"Downtown","580933"
"Single",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","60577",-123.11981205155,49.2776255734511,"Downtown","580935"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52884",-123.138851266235,49.2654018311992,"Fairview","B71501"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",3,"No","66822",-123.127057872549,49.2739356799517,"Downtown","591340"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",3,"No","66848",-123.12685181837,49.2740617130863,"Downtown","591330"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",3,"No","66815",-123.126956344388,49.2739988208511,"Downtown","591334"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"Yes","66219",-123.124947797033,49.2844339916564,"West End","650802"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52340",-123.115268500264,49.255258102595,"South Cambie","563317"
"Pay Station",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"Yes","59929",-123.100259768901,49.2548481570966,"Riley Park","C80209"
"Single / Disability",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","54667",-123.147563961626,49.2706349647373,"Kitsilano","B11842"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","50212",-123.131261197318,49.2638426589592,"Fairview","862410"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","51700",-123.131265703966,49.2637280549034,"Fairview","862414"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","51728",-123.131428255466,49.2638653168758,"Fairview","862409"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52409",-123.13013141852,49.2644307841896,"Fairview","B81129"
"Twin",5,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52743",-123.118992941183,49.2633762307293,"Fairview","300625"
"Twin",2,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52441",-123.137156764295,49.2636897916323,"Fairview","301413"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","65877",-123.12500661394,49.2793232545401,"Downtown","621021"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","54200",-123.153942826425,49.2637511947858,"Kitsilano","302120"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","54199",-123.154731737041,49.2637669530165,"Kitsilano","302134"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52993",-123.139379524226,49.2653159206199,"Fairview","B71508"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52882",-123.139868323194,49.2653241452419,"Fairview","B71516"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","54288",-123.138649876934,49.2647067436706,"Fairview","612319"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","56653",-123.101116714141,49.2559495404397,"Riley Park","513218"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","56212",-123.101273533217,49.2595178948138,"Mount Pleasant","512821"
"Twin",1,"METER IN EFFECT: 9:00 AM TO 10:00 PM",3,"No","52094",-123.143896216264,49.2680754192559,"Fairview","B41709"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","64215",-123.137350404124,49.2902991494964,"West End","720905"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52796",-123.106572125134,49.2671370700903,"Mount Pleasant","762006"
"Twin",4,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52546",-123.146034941014,49.2707318966323,"Kitsilano","B11807"
"Twin",7,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"Yes","62948",-123.119489926633,49.2882228364408,"Downtown","650303"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","52252",-123.069458155316,49.2728302904814,"Grandview-Woodland","6C1302"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","53695",-123.069460760332,49.2726980596172,"Grandview-Woodland","6C1306"
"Twin",3,"METER IN EFFECT: 9:00 AM TO 10:00 PM",2,"No","53724",-123.069466699652,49.2723557980349,"Grandview-Woodland","6C1320"
